City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,kavaratti,10.5669,72.642,82.65,61,54,6.58,IN,1615006872
230,isangel,-19.55,169.2667,86.0,74,90,28.77,VU,1615006820
231,juneau,58.3019,-134.4197,35.6,87,90,14.97,US,1615007288
232,kalivai,35.4512,24.1735,51.8,87,20,5.44,GR,1615007288
233,maniitsoq,65.4167,-52.9,29.97,99,100,5.5,GL,1615007288
234,chapais,49.7834,-74.8492,6.8,78,90,10.36,CA,1615006788
235,wuchi,29.3786,103.023,41.14,89,100,2.37,CN,1615007289
236,maceio,-9.6658,-35.7353,73.4,94,0,3.44,BR,1615007289
237,starkville,33.4504,-88.8184,48.2,37,90,12.66,US,1615007002
238,college,64.8569,-147.8028,5.0,71,40,5.75,US,1615006784
239,iqaluit,63.7506,-68.5145,-4.0,77,75,28.77,CA,1615006793
240,middlebury,44.0153,-73.1673,15.01,57,90,6.91,US,1615007290
241,laguna,38.421,-121.4238,55.99,71,1,12.66,US,1615006850
242,nova olimpia,-14.7972,-57.2881,70.83,96,100,1.03,BR,1615007290
243,quang ngai,15.1167,108.8,85.69,58,19,8.97,VN,1615007291
244,nambucca heads,-30.65,153.0,73.99,68,75,9.22,AU,1615007291
245,awjilah,29.1081,21.2869,56.03,37,0,14.12,LY,1615006779
246,airai,-8.9266,125.4092,72.82,87,27,2.24,TL,1615006842
247,russell,32.3502,-85.1999,55.4,37,90,9.22,US,1615007292
248,itarema,-2.9248,-39.9167,78.62,80,41,8.25,BR,1615006913
249,yantal,56.8471,105.2542,24.89,93,100,14.38,RU,1615006913
250,saskylakh,71.9167,114.0833,-23.26,83,17,10.49,RU,1615006887
251,yenagoa,4.9247,6.2642,77.65,90,59,3.71,NG,1615007293
252,riyadh,24.6877,46.7219,60.8,41,0,6.91,SA,1615007293
253,saint george,37.1041,-113.5841,62.6,17,1,3.44,US,1615006592
254,severo-yeniseyskiy,60.3725,93.0408,19.81,94,97,11.56,RU,1615007293
255,talaya,61.3833,152.75,-14.71,79,100,11.81,RU,1615007294
256,tilichiki,60.4667,166.1,-17.55,87,20,4.54,RU,1615007294
257,ust-nera,64.5667,143.2,-19.62,76,100,6.53,RU,1615006835
258,hay river,60.8156,-115.7999,15.8,86,100,1.14,CA,1615007098
259,changji,44.0167,87.3167,32.0,93,20,4.47,CN,1615007295
260,askino,56.0901,56.5783,10.33,95,100,11.18,RU,1615007295
261,pochutla,15.7432,-96.4661,75.99,77,0,2.71,MX,1615006834
262,griffith,41.5284,-87.4237,28.0,100,1,3.83,US,1615007296
263,port keats,-14.25,129.55,88.68,71,24,12.03,AU,1615007296
264,ponta do sol,32.6667,-17.1,57.99,59,59,5.01,PT,1615006900
265,soyo,-6.1349,12.3689,80.56,87,100,9.4,AO,1615007296
266,aguas formosas,-17.0822,-40.9358,68.16,77,55,3.67,BR,1615007296
267,nyrob,60.733,56.7202,5.77,94,100,4.23,RU,1615007297
268,port lincoln,-34.7333,135.8667,68.92,58,100,9.64,AU,1615006802
269,vostok,46.4856,135.8833,0.91,91,100,9.84,RU,1615007297
270,ixcatepec,21.2,-97.95,67.12,93,25,3.42,MX,1615007298
271,haines junction,60.7522,-137.5108,14.0,79,96,1.14,CA,1615007298
